No.,Spindle speed (rpm),Cutting speed (mm/min),Feed rate (mm/min),Depth of cut (mm),Surface roughness (Ra)
Trail 1,Trail 2,Trail 3,Average
1,600,94.24,200,0.15,0.43,0.42,0.4,0.4166
2,800,125.66,200,0.15,0.36,0.37,0.34,0.3566
3,1000,157.07,200,0.15,0.36,0.32,0.34,0.34
4,1200,188.49,200,0.15,0.31,0.29,0.3,0.3
5,1500,235.61,200,0.15,0.26,0.24,0.27,0.2566
6,1700,267.03,200,0.25,0.22,0.24,0.2,0.22
7,1700,267.03,200,0.45,1.19,1.15,1.13,1.1566
8,1700,267.03,200,0.6,1.3,1.25,1.35,1.3
9,1700,267.03,200,0.85,1.35,1.4,1.43,1.3933
10,1700,267.03,200,,1.41,1.47,1.48,1.4533
11,2000,314.15,50,0.15,0.3,0.33,0.32,0.3166
12,2000,314.15,150,0.15,0.52,0.54,0.52,0.5266
13,2000,314.15,250,0.15,0.59,0.62,0.61,0.6066
14,2000,314.15,350,0.15,0.62,0.63,0.65,0.6333
15,2000,314.1,500,0.15,0.68,0.69,0.71,0.6933
